,English,Urdu
14,"<start>  “I talk to my parents about many subjects, <end>","<start>                                                                                                                             ""میں اپنے والدین سے بہت سے موضوعات پر بات کرتا ہوں، <end>"
15,"<start> ” says a boy named Christopher. “But I like it that sometimes they don’t know everything I’m thinking.” Is it wrong to keep some thoughts to yourself? Not necessarily—aslong as you’re not being deceitful. (Proverbs 3: 32) Nevertheless, <end>","<start> ”کرسٹوفر نامی لڑکا کہتا ہے۔ ""لیکن مجھے یہ پسند ہے کہ کبھی کبھی وہ سب کچھ نہیں جانتے جو میں سوچ رہا ہوں۔"" کیا کچھ خیالات اپنے پاس رکھنا غلط ہے؟ ضروری نہیں - جب تک کہ آپ دھوکے باز نہیں ہو رہے ہیں۔ (امثال 3:32) اس کے باوجود، <end>"
16,<start> whether your parents don’t seem to understand you or you are holding back. <end>,<start> چاہے آپ کے والدین آپ کو سمجھ نہیں رہے ہیں یا آپ پیچھے ہٹ رہے ہیں۔ <end>
17,<start>  one thing is certain: You need to talk to your parents <end>,<start>  ایک چیز یقینی ہے: آپ کو اپنے والدین سے بات کرنے کی ضرورت ہے۔ <end>
18,<start> —and they need to hear from you. <end>,<start> اور انہیں آپ سے سننے کی ضرورت ہے۔ <end>
19,"<start> Keep Talking! In some ways, <end>",<start> بات کرتے رہیں! کچھ طریقوں سے، <end>
20,<start> communicating with your parents is like driving a car. <end>,<start> اپنے والدین کے ساتھ بات چیت کرنا کار چلانے کے مترادف ہے۔ <end>
21,"<start>  If you encounter a roadblock, <end>",<start>  اگر آپ کو روڈ بلاک کا سامنا کرنا پڑتا ہے، <end>
22,<start>  you don’t give up; you simply find another route. <end>,<start>  تم ہمت نہ ہارو آپ صرف ایک اور راستہ تلاش کریں. <end>
23,<start>  Consider two examples. <end>,<start>  دو مثالوں پر غور کریں۔ <end>
24,<start>  You need to talk <end>,<start>  آپ کو بات کرنے کی ضرورت ہے۔ <end>
25,"<start> , but your parents don’t seem to be listening. <end>",<start> لیکن ایسا لگتا ہے کہ آپ کے والدین سن نہیں رہے ہیں۔ <end>
26,"<start>  “I find it difficult to communicate with my father, <end>","<start>                                                                                                                                           ""مجھے اپنے والد سے بات چیت کرنا مشکل لگتا ہے <end>"
27,<start> ” says a girl named Leah. <end>,<start> ”لیہ نامی لڑکی کہتی ہے۔ <end>
28,"<start> “Sometimes I’ll talk to him for a while and then he’ll say, ‘ <end>","<start> کبھی کبھی میں تھوڑی دیر اس سے بات کروں گا اور پھر وہ کہے گا،'_x000D_
میں معافی چاہتا ہوں، کیا آپ مجھ سے بات کر رہے تھے؟'_x000D_
 سوال: اگر لیہ کو واقعی کسی مسئلے پر بات کرنے کی ضرورت ہو تو کیا ہوگا؟_x000D_
اس کے پاس کم از کم تین اختیارات ہیں۔_x000D_
اگر آپ کو کسی مسئلے کے بارے میں اپنے والدین (والدین) کے ساتھ بیٹھ کر بات کرنا مشکل لگتا ہے۔_x000D_
جب آپ ایک ساتھ چل رہے ہوں، گاڑی چلا رہے ہوں یا خریداری کر رہے ہوں تو اس معاملے پر بات کریں۔_x000D_
آپ کے والدین بات کرنا چاہتے ہیں، لیکن آپ ایسا نہیں کریں گے۔_x000D_
اسکول میں سخت دن کے فوراً بعد سوالات کا نشانہ بننے سے بدتر کوئی چیز نہیں ہے۔ <end>"
29,"<start> I’m sorry, were you speaking to me?’ <end>",<start> سارہ نامی لڑکی کہتی ہے۔ <end>
30,<start>  ” QUESTION: What if Leah really needs to discuss a problem? <end>,"<start> میں صرف اسکول کے بارے میں بھولنا چاہتا ہوں۔_x000D_
لیکن فوراً ہی میرے والدین پوچھنے لگے:_x000D_
 'آپ کا' اپنے والدین کے ساتھ بات چیت کرنا ہمیشہ آسان نہیں ہوتا ہے،_x000D_
 لیکن جب آپ کھل کر ان سے بات کرتے ہیں،_x000D_
 آپ کو ایسا لگتا ہے جیسے آپ کے دماغ سے ایک بہت بڑا وزن اٹھا لیا گیا ہے۔_x000D_
’’—Devenye ROADBLOCK 2 10 نوجوان پوچھتے ہیں جس طرح آپ کو اپنے والدین سے سنجیدہ موضوعات پر بات کرنا مشکل ہو سکتا ہے۔_x000D_
انہی موضوعات کے بارے میں آپ سے بات کرنے کی کوشش کرتے وقت وہ عجیب اور ناکافی محسوس کر سکتے ہیں۔ ?_x000D_
 کیا آپ جانتے ہیں؟ . . دن؟_x000D_
کیا کوئی مسئلہ تھا؟‘‘_x000D_
 اس میں کوئی شک نہیں کہ سارہ کے والدین بہترین نیت کے ساتھ ایسے سوالات پوچھتے ہیں۔_x000D_
پھر بھی، وہ افسوس کا اظہار کرتی ہے، جب میں تھکا ہوا اور دباؤ کا شکار ہوں تو اسکول کے بارے میں بات کرنا مشکل ہے۔"" <end>"
31,<start> She has at least three options. <end>,<start> یاد رکھیں، جو الفاظ آپ کہتے ہیں اور جو پیغام آپ کے والدین سنتے ہیں وہ ہمیشہ مماثل نہیں ہوتے ہیں۔ <end>
32,<start> If you find it difficult just to sit and talk with your parent(s) about a problem. <end>,<start> اگر آپ کو کسی مسئلے کے بارے میں اپنے والدین (والدین) کے ساتھ بیٹھنا اور بات کرنا مشکل لگتا ہے۔ <end>
33,"<start> discuss the matter while you are walking, driving, or shopping together. <end>",<start> جب آپ ایک ساتھ چل رہے ہوں، گاڑی چلا رہے ہوں یا خریداری کر رہے ہوں تو اس معاملے پر بات کریں۔ <end>
34,"<start> Your parents want to talk, but you’d rather not. <end>",<start> آپ کے والدین بات کرنا چاہتے ہیں، لیکن آپ ایسا نہیں کریں گے۔ <end>
35,<start> “There’s nothing worse than being hit with questions immediately after a hard day at school <end>,"<start> اسکول میں سخت دن کے فوراً بعد سوالات کا نشانہ بننے سے بدتر کوئی چیز نہیں ہے۔_x000D_
سارہ نامی لڑکی کہتی ہے۔_x000D_
میں صرف اسکول کے بارے میں بھولنا چاہتا ہوں۔ <end>"
36,"<start> ,” says a girl named Sarah. <end>",<start> لیکن فوراً ہی میرے والدین پوچھنے لگتے ہیں۔ <end>
37,<start> “I just want to forget about school. <end>,<start>  ’’آپ کا‘‘ اپنے والدین کے ساتھ بات چیت کرنا ہمیشہ آسان نہیں ہوتا، <end>
38,"<start> , but right away my parents start asking. <end>",<start>  لیکن جب آپ کھل کر ان سے بات کرتے ہیں۔ <end>
39,"<start>  ‘How was your ‘‘ Communicating with your parents isn’t always easy, <end>",<start>  آپ کو ایسا لگتا ہے جیسے آپ کے دماغ سے ایک بہت بڑا وزن اٹھا لیا گیا ہے۔ <end>
40,<start>  but when you do open up and talk to them. <end>,<start>  نوجوان لوگ پوچھتے ہیں جس طرح آپ کو اپنے والدین سے سنجیدہ موضوعات پر بات کرنا مشکل ہو سکتا ہے۔ <end>
41,<start>  you feel as if a huge weight has been lifted off your mind. <end>,<start> انہی موضوعات کے بارے میں آپ سے بات کرنے کی کوشش کرتے وقت وہ عجیب اور ناکافی محسوس کر سکتے ہیں؟ <end>
42,<start> ’’ —Devenye ROADBLOCK 2 10 young people ask Just as you may find it difficult to talk with your parents about serious subjects. <end>,<start>  کیا آپ کو دن معلوم تھا؟ <end>
43,<start> they may feel awkward and inadequate when trying to talk with you about those same subjects. ? <end>,<start> کیا کوئی مسئلہ تھا؟‘‘ <end>
44,<start>  DID YOU KNOW . . . day? <end>,<start>  اس میں کوئی شک نہیں کہ سارہ کے والدین بہترین نیت کے ساتھ ایسے سوالات پوچھتے ہیں۔ <end>
45,<start> Were there any problems?’ ” <end>,"<start> پھر بھی، وہ افسوس کا اظہار کرتی ہے، ""جب میں تھکا ہوا اور دباؤ کا شکار ہوں تو اسکول کے بارے میں بات کرنا مشکل ہے۔"" <end>"
46,<start>  No doubt Sarah’s parents ask such questions with the best of intentions. <end>,<start> یاد رکھیں، جو الفاظ آپ کہتے ہیں اور جو پیغام آپ کے والدین سنتے ہیں وہ ہمیشہ مماثل نہیں ہوتے ہیں۔ <end>
47,"<start> Still, she laments, “It’s hard to talk about school when I’m tired and stressed.” <end>",<start>                                                                                             . مثال کے طور پر، آپ کے والدین آپ سے پوچھتے ہیں کہ آپ کا موڈ خراب کیوں ہے۔                                 <end>
48,"<start> Remember, the words you say and the message your parents hear do not always match <end>","<start>  آپ کہتے ہیں، ""میں اس کے بارے میں بات نہیں کرنا چاہتا۔"" <end>"
49,"<start> . For example, your parents ask you why you seem to be in a bad mood. <end>",<start>  لیکن آپ کے والدین سنتے ہیں۔ <end>
50,"<start>  You say, “I don’t want to talk about it.” <end>",<start> . مثال کے طور پر، آپ کے والدین آپ سے پوچھتے ہیں کہ آپ کا موڈ خراب کیوں ہے                                                                                           ۔ <end>
51,<start>  But your parents hear: <end>,"<start>  آپ کہتے ہیں، ""میں اس کے بارے میں بات نہیں کرنا چاہتا۔"" <end>"
52,<start>  “I don’t trust you enough to confide in you. <end>,<start>  لیکن آپ کے والدین سنتے ہیں: <end>
53,<start>  I’ll talk to my friends about the problem but not to you.” <end>,"<start>  ""                                                                                                                       مجھے آپ پر اتنا بھروسہ نہیں ہے کہ میں آپ پر اعتماد کروں۔ <end>"
54,<start>  Try this exercise by filling in your answers. <end>,"<start>  میں اپنے دوستوں سے مسئلہ کے بارے میں بات کروں گا لیکن آپ سے نہیں۔"" <end>"
55,<start>  Imagine that you are facing a difficult problem and your parent offers to help. <end>,<start>  اپنے جوابات بھر کر اس مشق کو آزمائیں۔ <end>
56,<start> Why are we always arguing? <end>,<start>  تصور کریں کہ آپ کو ایک مشکل مسئلہ درپیش ہے اور آپ کے والدین مدد کی پیشکش کرتے ہیں۔ <end>
57,<start> How can you express yourself without turning normal conversation into open warfare? <end>,<start> ہم ہمیشہ بحث کیوں کرتے ہیں؟ <end>
58,<start>  It’s easy to say: <end>,<start> آپ عام گفتگو کو کھلی جنگ میں بدلے بغیر کیسے اظہار خیال کر سکتے ہیں؟ <end>
59,<start> “That’s my parents’ problem. <end>,<start>  یہ کہنا آسان ہے: <end>
60,"<start>  After all, they’re the ones who are always on my back!” <end>",<start> سب کے بعد، وہ وہی ہیں جو ہمیشہ میری پیٹھ پر ہیں! <end>
61,"<start>  But think: How much control do you have over others, <end>",<start>  لیکن سوچئے: آپ کا دوسروں پر کتنا کنٹرول ہے، <end>
62,<start> including your parents? <end>,<start> آپ کے والدین سمیت؟ <end>
63,"<start>  Really, the only person you can change is you. <end>",<start>  واقعی، واحد شخص جسے آپ بدل سکتے ہیں وہ آپ ہیں۔ <end>
64,"<start>  And the good news is that if you do your part to ease the tension, <end>",<start>  اور اچھی خبر یہ ہے کہ اگر آپ تناؤ کو کم کرنے کے لیے اپنا کردار ادا کرتے ہیں، <end>
65,<start> your parents are more likely to remain calm and hear you out when you have something to say. <end>,<start> جب آپ کے پاس کچھ کہنا ہو تو آپ کے والدین کے پرسکون رہنے اور آپ کی بات سننے کا زیادہ امکان ہوتا ہے۔ <end>
66,<start>  So let’s see what you can do to put a lid on the arguing <end>,<start>  تو آئیے دیکھتے ہیں کہ آپ بحث پر ڈھکن لگانے کے لیے کیا کر سکتے ہیں۔ <end>
67,"<start> . Apply the suggestions that follow, and you might amaze your parents—and yourself—with your newfound communication skills. <end>",<start>                                           . مندرجہ ذیل تجاویز کو لاگو کریں، اور آپ اپنے والدین اور اپنے آپ کو اپنی نئی مواصلت کی مہارتوں سے حیران کر سکتے ہیں۔ <end>
68,<start> Perhaps your mom is frustrated. <end>,<start> شاید آپ کی والدہ مایوس ہیں۔ <end>
69,<start>  feeling that she is burdened with more than her share of the housework. <end>,<start>  یہ محسوس کرتے ہوئے کہ اس پر گھر کے کام کاج سے زیادہ بوجھ ہے۔ <end>
70,<start>  It could be that she merely wants reassurance that she has your support. <end>,<start>  یہ ہو سکتا ہے کہ وہ محض یہ یقین دہانی چاہتی ہو کہ اسے آپ کی حمایت حاصل ہے۔ <end>
71,"<start>  If that’s the case, saying “Why are you nagging me?” <end>","<start>  اگر ایسا ہے تو، یہ کہتے ہوئے کہ ""تم مجھے کیوں تنگ کر رہے ہو؟"" <end>"
72,<start>  will get you nowhere—except maybe into an argument! <end>,<start>  آپ کو کہیں نہیں ملے گا - سوائے شاید کسی بحث کے! <end>
73,"<start>  So instead, why not put your mom at ease? <end>",<start>  تو اس کے بجائے، کیوں نہ اپنی ماں کو آرام سے رکھیں؟ <end>
74,"<start> For example, you could say: “I can see you’re upset, Mom. <end>","<start> مثال کے طور پر، آپ کہہ سکتے ہیں: ""میں دیکھ سکتا ہوں کہ آپ پریشان ہیں، ماں۔ <end>"
75,<start>  I’ll do the dishes right away.” <end>,"<start>  میں ابھی پکوان بنا لوں گا۔"" <end>"
76,<start> A caution: Do not lace your words with sarcasm. <end>,<start> ایک احتیاط: اپنے الفاظ کو طنز کے ساتھ نہ باندھیں۔ <end>
77,<start>  Respond with empathy. <end>,<start>  ہمدردی کے ساتھ جواب دیں۔ <end>
78,<start>  and your mom will be more likely to soften and tell you the real problem. <end>,<start>  اور آپ کی ماں نرمی کرنے اور آپ کو اصل مسئلہ بتانے کا زیادہ امکان رکھتی ہے۔ <end>
79,"<start> My mom will sometimes say ‘I’m sorry’ with a hug, and that’s nice. <end>",<start> میری ماں کبھی کبھار گلے لگا کر کہے گی 'مجھے افسوس ہے'، اور یہ اچھا ہے۔ <end>
80,<start> Then we can move on. <end>,<start> پھر ہم آگے بڑھ سکتے ہیں۔ <end>
81,<start>  I try to do that too. <end>,<start>  میں بھی ایسا کرنے کی کوشش کرتا ہوں۔ <end>
82,<start>  Putting my pride behind me and sincerely saying ‘I’m sorry’ goes a long way. <end>,<start>  اپنے فخر کو اپنے پیچھے ڈالنا اور خلوص دل سے 'مجھے معاف کر دینا' بہت آگے جاتا ہے۔ <end>
83,<start>  although I admit it’s not easy. <end>,<start>  اگرچہ میں تسلیم کرتا ہوں کہ یہ آسان نہیں ہے۔ <end>
84,<start> Arguing with a parent is like running on a treadmill <end>,<start> والدین کے ساتھ بحث کرنا ٹریڈمل پر چلنے کے مترادف ہے۔ <end>
85,<start> you’ll expend a lot of energy but won’t get anywhere. <end>,<start> آپ بہت زیادہ توانائی خرچ کریں گے لیکن کہیں نہیں پائیں گے۔ <end>
86,<start> there is any conflict. <end>,<start> کوئی تنازعہ ہے؟ <end>
87,<start>  If you find it hard to do this face-toface. <end>,<start>  اگر آپ کو یہ آمنے سامنے کرنا مشکل لگتا ہے۔ <end>
88,<start>  try expressing your feelings in a note. <end>,<start>  ایک نوٹ میں اپنے جذبات کا اظہار کرنے کی کوشش کریں۔ <end>
89,<start> Then ‘go the extra mile’ by changing any behavior that contributed to the conflict in the first place. (Matthew 5:41) For example. <end>,<start> پھر کسی بھی طرز عمل کو تبدیل کرکے 'اضافی میل طے کریں' جس نے پہلی جگہ تنازعہ میں حصہ لیا۔ (متی 5:41) مثال کے طور پر۔ <end>
90,<start> if neglecting a chore has ignited an argument. <end>,<start> اگر کسی کام کو نظر انداز کرنے سے ایک دلیل آگئی ہے۔ <end>
91,<start> why not surprise your parents by doing that chore? <end>,<start> اپنے والدین کو یہ کام کر کے حیران کیوں نہیں کرتے؟ <end>
92,<start> Even if you dislike the task. <end>,<start> یہاں تک کہ اگر آپ کام کو ناپسند کرتے ہیں۔ <end>
93,<start>  wouldn’t getting it done be better than facing the consequences when your parents see it’s still not done? <end>,<start>  جب آپ کے والدین دیکھتے ہیں کہ یہ ابھی تک نہیں ہوا ہے تو کیا اسے انجام دینا نتائج کا سامنا کرنے سے بہتر نہیں ہوگا؟ <end>
94,<start> Think of what you stand to gain by doing your part to reduce the tension between you and your parents. Successful families have conflicts. <end>,<start> اپنے اور اپنے والدین کے درمیان تناؤ کو کم کرنے کے لیے اپنا کردار ادا کرکے آپ کیا حاصل کرنے کے لیے کھڑے ہیں اس کے بارے میں سوچیں۔ کامیاب خاندانوں میں تنازعات ہوتے ہیں۔ <end>
95,<start>  but they know how to settle them peaceably. <end>,<start>  لیکن وہ انہیں پُرامن طریقے سے حل کرنا جانتے ہیں۔ <end>
96,<start>  Practice the skills outlined in this chapter. <end>,<start>  اس باب میں بیان کردہ مہارتوں کی مشق کریں۔ <end>
97,<start>  and you may find that you can discuss even difficult topics with your parents—without arguing! <end>,<start>  اور آپ محسوس کر سکتے ہیں کہ آپ اپنے والدین کے ساتھ مشکل موضوعات پر بحث کیے بغیر بحث کر سکتے ہیں! <end>
98,<start> However. <end>,<start> البتہ. <end>
99,<start> the transition to adulthood isn’t like a door that you simply walk through when you reach a certain age. <end>,<start> جوانی میں منتقلی ایک دروازے کی طرح نہیں ہے جس سے آپ صرف ایک خاص عمر کو پہنچنے پر گزرتے ہیں۔ <end>
100,"<start> It’s more like a stairway that you climb, step-by-step, throughout adolescence. <end>",<start> یہ ایک سیڑھی کی طرح ہے جس پر آپ قدم بہ قدم، پورے جوانی میں چڑھتے ہیں۔ <end>
101,"<start>  Granted, you and your parents may have conflicting opinions as to just how far you’ve progressed up that stairway. <end>",<start>  یہ سچ ہے کہ آپ اور آپ کے والدین کی متضاد رائے ہو سکتی ہے کہ آپ نے اس سیڑھی سے کتنی دور تک ترقی کی ہے۔ <end>
102,"<start> “I’m 20 years old, and this is still an issue!” says Maria. <end>",<start> میں 20 سال کا ہوں، اور یہ اب بھی ایک مسئلہ ہے! ماریہ کا کہنا ہے کہ. <end>
103,<start>  who feels that she’s not trusted when it comes to her choice of friends. <end>,<start>  جو محسوس کرتی ہے کہ جب اس کے دوستوں کے انتخاب کی بات آتی ہے تو اس پر بھروسہ نہیں کیا جاتا ہے۔ <end>
104,"<start> LIKE Sarah and Christine, do you yearn for more freedom? <end>",<start> سارہ اور کرسٹین کی طرح، کیا آپ مزید آزادی کی خواہش رکھتے ہیں؟ <end>
105,"<start> To get it, you’ll need to gain the trust of your parents. <end>",<start> اسے حاصل کرنے کے لیے، آپ کو اپنے والدین کا اعتماد حاصل کرنا ہوگا۔ <end>
106,<start>  But trust is a lot like money. <end>,<start>  لیکن اعتماد بہت زیادہ پیسے کی طرح ہے۔ <end>
107,"<start>  Earning it is hard, losing it is easy, and no matter how much you’re given, it may never seem to be enough. <end>",<start>  اسے کمانا مشکل ہے، اسے کھونا آسان ہے، اور اس سے کوئی فرق نہیں پڑتا ہے کہ آپ کو کتنا ہی دیا جائے، یہ کبھی بھی کافی نہیں لگتا ہے۔ <end>
108,"<start>  “Whenever I want to go out,” says 16-yearold Iliana. <end>",<start>  16 سالہ الیانا کہتی ہیں، ’’میں جب بھی باہر جانا چاہتی ہوں۔ <end>
109,"<start> “my parents bombard me with questions about where I’m going, the people I’m going with, what I’ll be doing, and when I’ll be back. <end>","<start> میرے والدین مجھ پر سوالات کی بوچھاڑ کرتے ہیں کہ میں کہاں جا رہا ہوں، جن لوگوں کے ساتھ میں جا رہا ہوں، میں کیا کروں گا، اور میں کب واپس آؤں گا۔_x000D_
میں جانتا ہوں کہ وہ میرے والدین ہیں، لیکن جب وہ مجھ سے اس طرح سوال کرتے ہیں تو مجھے غصہ آتا ہے! <end>"
110,"<start> I know they’re my parents, but it irritates me when they question me like that!” <end>",<start> آپ اپنے والدین کو آپ پر زیادہ اعتماد کرنے اور آپ کو مزید آزادی دلانے کے لیے کیا کر سکتے ہیں؟ <end>
111,<start> What can you do to get your parents to trust you more and give you more freedom? <end>,<start> اس سوال کا جواب دینے سے پہلے۔ <end>
112,<start> Before answering that question. <end>,<start>  آئیے دیکھتے ہیں کہ بہت سے والدین اور نوجوانوں کے درمیان اعتماد اس قدر گرم بٹن کا موضوع کیوں ہے۔ <end>
113,<start>  let’s look at why trust is such a hot-button topic between many parents and youths. <end>,"<start> میرے والدین سوچتے ہیں کہ مجھ میں اتنی طاقت نہیں ہوگی کہ میں ایک بری صورتحال سے نکل سکوں۔_x000D_
میں نے انہیں بتانے کی کوشش کی ہے کہ میں پہلے ہی برے حالات سے دور ہو چکا ہوں۔_x000D_
لیکن یہ ان کے لیے کافی نہیں ہے! <end>"
114,<start> “My parents think that I wouldn’t have the strength to walk away from a bad situation. <end>,<start>  جیسا کہ ماریہ کے تبصروں سے پتہ چلتا ہے۔ <end>
115,<start> I’ve tried telling them that I have already walked away from bad situations. <end>,<start> اعتماد کا مسئلہ نوجوانوں اور والدین کے درمیان کافی تناؤ کا باعث بن سکتا ہے۔ <end>
116,<start> but that’s not good enough for them!” <end>,<start>  کیا آپ کے خاندان میں یہ سچ ہے؟ میں <end>
117,<start>  As Maria’s comments reveal. <end>,<start> تو، آپ اپنے والدین سے زیادہ اعتماد کیسے حاصل کر سکتے ہیں؟ <end>
118,<start> the issue of trust can be a source of considerable tension between youths and parents. <end>,<start>  جو محسوس کرتی ہے کہ جب اس کے دوستوں کے انتخاب کی بات آتی ہے تو اس پر بھروسہ نہیں کیا جاتا ہے۔ <end>
119,<start>  Is that true in your family? I <end>,<start>  جیسا کہ ماریہ کے تبصروں سے پتہ چلتا ہے۔ <end>
120,"<start> f so, how can you earn greater trust from your parents? <end>",<start>  تو، آپ اپنے والدین سے زیادہ اعتماد کیسے حاصل کر سکتے ہیں؟ <end>
121,<start> And if you’ve lost their trust because of some unwise actions on your part. <end>,<start> اور اگر آپ اپنی طرف سے کچھ غیر دانشمندانہ اقدامات کی وجہ سے ان کا اعتماد کھو چکے ہیں۔ <end>
122,<start> what can you do to repair the damage? <end>,<start> آپ نقصان کو ٹھیک کرنے کے لیے کیا کر سکتے ہیں؟ <end>
123,<start> The degree to which you’re accorded freedom often matches the degree to which The transition to becoming a trusted adult is like a stairway that you climb. <end>,<start> جس ڈگری تک آپ کو آزادی دی جاتی ہے وہ اکثر اس ڈگری سے میل کھاتا ہے جس پر ایک قابل اعتماد بالغ بننے کی منتقلی ایک سیڑھی کی طرح ہے جس پر آپ چڑھتے ہیں۔ <end>
124,"<start> step-by-step, throughout adolescence CHILDHOOD ADOLESCENCE ADULTHOOD How can I earn more freedom? <end>",<start> قدم بہ قدم، پورے جوانی میں بچپن جوانی جوانی میں مزید آزادی کیسے حاصل کر سکتا ہوں؟ <end>
125,<start> 23 Rather than compare your present restrictions with the freedom an older sibling may have. <end>,<start> 23 اپنی موجودہ پابندیوں کا موازنہ اس آزادی سے کریں جو ایک بڑے بھائی کو حاصل ہو سکتی ہے۔ <end>
126,<start>  compare the restrictions you used to have when you were younger with the freedom you have now. <end>,<start>  ان پابندیوں کا موازنہ کریں جو آپ چھوٹے تھے جب آپ پر لگا ہوا تھا اس آزادی سے جو آپ کو اب حاصل ہے۔ <end>
127,<start> TIP you prove yourself trustworthy. <end>,<start>  آپ اپنے آپ کو قابل اعتماد ثابت کریں۔ <end>
128,<start> Not that you have to be perfect. <end>,<start> ایسا نہیں ہے کہ آپ کو کامل ہونا پڑے گا۔ <end>
129,"<start>  After all, everyone makes mistakes. <end>",<start>  سب کے بعد، ہر کوئی غلطیاں کرتا ہے. <end>
130,"<start> Overall, though, does your pattern of behavior give your parents reason to withhold their trust? <end>",<start> تاہم، مجموعی طور پر، کیا آپ کا طرزِ عمل آپ کے والدین کو ان کے اعتماد کو روکنے کی وجہ دیتا ہے؟ <end>
131,"<start> For example, Paul wrote: “We wish to conduct ourselves honestly in all things.” <end>",<start> مثال کے طور پر، پولس نے لکھا: ”ہم ہر بات میں ایمانداری سے چلنا چاہتے ہیں۔ <end>
132,"<start> Ask yourself, ‘What kind of track record do I have when it comes to being up front with my parents about my whereabouts and activities?’ <end>",<start> اپنے آپ سے پوچھیں، 'جب میرے والدین کے ساتھ میرے ٹھکانے اور سرگرمیوں کے بارے میں سامنے آنے کی بات آتی ہے تو میرے پاس کس قسم کا ٹریک ریکارڈ ہے؟' <end>
133,<start> Consider the comments of a few youths who have had to take a hard look at themselves in this regard. <end>,<start> چند نوجوانوں کے تبصروں پر غور کریں جنہیں اس سلسلے میں خود کو سختی سے دیکھنا پڑا۔ <end>
134,<start> After you’ve read their comments. <end>,<start> ان کے تبصرے پڑھنے کے بعد۔ <end>
135,<start> answer the questions listed below. <end>,<start> ذیل میں درج سوالات کا جواب دیں۔ <end>
136,<start> “I was secretly e-mailing a boy I liked. <end>,<start> میں چپکے سے ایک لڑکے کو ای میل کر رہا تھا جسے میں پسند کرتا تھا۔ <end>
137,"<start> My parents found out about it and told me to stop. I promised that I would, but I didn’t. <end>",<start> میرے والدین کو اس کے بارے میں پتہ چلا اور مجھے رکنے کو کہا۔ میں نے وعدہ کیا تھا کہ میں کروں گا، لیکن میں نے نہیں کیا۔ <end>
138,"<start> This went on for a year. I’d e-mail the boy, my parents would find out, I’d apologize and promise to stop, but then I’d do it again. <end>",<start> یہ سلسلہ ایک سال تک چلتا رہا۔ میں لڑکے کو ای میل کروں گا، میرے والدین کو پتہ چل جائے گا، میں معافی مانگوں گا اور روکنے کا وعدہ کروں گا، لیکن پھر میں اسے دوبارہ کروں گا۔ <end>
139,<start> It got to the point where my parents couldn’t trust me with anything!” <end>,<start> یہ اس مقام پر پہنچ گیا کہ میرے والدین مجھ پر کسی چیز پر بھروسہ نہیں کر سکتے تھے! <end>
140,"<start> Why, do you think, did Lori’s parents withhold their trust? <end>",<start> آپ کے خیال میں لوری کے والدین نے اپنا اعتماد کیوں روکا؟ <end>
141,"<start> If you were Lori’s parent, what would you have done, and why? <end>",<start> اگر آپ لوری کے والدین ہوتے، تو آپ کیا کرتے، اور کیوں؟ <end>
