,English,Urdu
44, DID YOU KNOW . . . day?, اس میں کوئی شک نہیں کہ سارہ کے والدین بہترین نیت کے ساتھ ایسے سوالات پوچھتے ہیں۔
45,Were there any problems?’ ”,"پھر بھی، وہ افسوس کا اظہار کرتی ہے، ""جب میں تھکا ہوا اور دباؤ کا شکار ہوں تو اسکول کے بارے میں بات کرنا مشکل ہے۔"""
46, No doubt Sarah’s parents ask such questions with the best of intentions.,یاد رکھیں، جو الفاظ آپ کہتے ہیں اور جو پیغام آپ کے والدین سنتے ہیں وہ ہمیشہ مماثل نہیں ہوتے ہیں۔
47,"Still, she laments, “It’s hard to talk about school when I’m tired and stressed.”",                                                                                            . مثال کے طور پر، آپ کے والدین آپ سے پوچھتے ہیں کہ آپ کا موڈ خراب کیوں ہے۔                                
48,"Remember, the words you say and the message your parents hear do not always match"," آپ کہتے ہیں، ""میں اس کے بارے میں بات نہیں کرنا چاہتا۔"""
49,". For example, your parents ask you why you seem to be in a bad mood.", لیکن آپ کے والدین سنتے ہیں۔
50," You say, “I don’t want to talk about it.”",. مثال کے طور پر، آپ کے والدین آپ سے پوچھتے ہیں کہ آپ کا موڈ خراب کیوں ہے                                                                                           ۔
51, But your parents hear:," آپ کہتے ہیں، ""میں اس کے بارے میں بات نہیں کرنا چاہتا۔"""
52, “I don’t trust you enough to confide in you., لیکن آپ کے والدین سنتے ہیں:
53, I’ll talk to my friends about the problem but not to you.”," ""                                                                                                                       مجھے آپ پر اتنا بھروسہ نہیں ہے کہ میں آپ پر اعتماد کروں۔"
54, Try this exercise by filling in your answers.," میں اپنے دوستوں سے مسئلہ کے بارے میں بات کروں گا لیکن آپ سے نہیں۔"""
55, Imagine that you are facing a difficult problem and your parent offers to help., اپنے جوابات بھر کر اس مشق کو آزمائیں۔
56,Why are we always arguing?, تصور کریں کہ آپ کو ایک مشکل مسئلہ درپیش ہے اور آپ کے والدین مدد کی پیشکش کرتے ہیں۔
57,How can you express yourself without turning normal conversation into open warfare?,ہم ہمیشہ بحث کیوں کرتے ہیں؟
58, It’s easy to say:,آپ عام گفتگو کو کھلی جنگ میں بدلے بغیر کیسے اظہار خیال کر سکتے ہیں؟
59,“That’s my parents’ problem., یہ کہنا آسان ہے:
60," After all, they’re the ones who are always on my back!”",سب کے بعد، وہ وہی ہیں جو ہمیشہ میری پیٹھ پر ہیں!
61," But think: How much control do you have over others,", لیکن سوچئے: آپ کا دوسروں پر کتنا کنٹرول ہے،
62,including your parents?,آپ کے والدین سمیت؟
63," Really, the only person you can change is you.", واقعی، واحد شخص جسے آپ بدل سکتے ہیں وہ آپ ہیں۔
64," And the good news is that if you do your part to ease the tension,", اور اچھی خبر یہ ہے کہ اگر آپ تناؤ کو کم کرنے کے لیے اپنا کردار ادا کرتے ہیں،
65,your parents are more likely to remain calm and hear you out when you have something to say.,جب آپ کے پاس کچھ کہنا ہو تو آپ کے والدین کے پرسکون رہنے اور آپ کی بات سننے کا زیادہ امکان ہوتا ہے۔
66, So let’s see what you can do to put a lid on the arguing, تو آئیے دیکھتے ہیں کہ آپ بحث پر ڈھکن لگانے کے لیے کیا کر سکتے ہیں۔
67,". Apply the suggestions that follow, and you might amaze your parents—and yourself—with your newfound communication skills.",                                          . مندرجہ ذیل تجاویز کو لاگو کریں، اور آپ اپنے والدین اور اپنے آپ کو اپنی نئی مواصلت کی مہارتوں سے حیران کر سکتے ہیں۔
68,Perhaps your mom is frustrated.,شاید آپ کی والدہ مایوس ہیں۔
69, feeling that she is burdened with more than her share of the housework., یہ محسوس کرتے ہوئے کہ اس پر گھر کے کام کاج سے زیادہ بوجھ ہے۔
70, It could be that she merely wants reassurance that she has your support., یہ ہو سکتا ہے کہ وہ محض یہ یقین دہانی چاہتی ہو کہ اسے آپ کی حمایت حاصل ہے۔
71," If that’s the case, saying “Why are you nagging me?”"," اگر ایسا ہے تو، یہ کہتے ہوئے کہ ""تم مجھے کیوں تنگ کر رہے ہو؟"""
72, will get you nowhere—except maybe into an argument!, آپ کو کہیں نہیں ملے گا - سوائے شاید کسی بحث کے!
73," So instead, why not put your mom at ease?", تو اس کے بجائے، کیوں نہ اپنی ماں کو آرام سے رکھیں؟
74,"For example, you could say: “I can see you’re upset, Mom.","مثال کے طور پر، آپ کہہ سکتے ہیں: ""میں دیکھ سکتا ہوں کہ آپ پریشان ہیں، ماں۔"
75, I’ll do the dishes right away.”," میں ابھی پکوان بنا لوں گا۔"""
76,A caution: Do not lace your words with sarcasm.,ایک احتیاط: اپنے الفاظ کو طنز کے ساتھ نہ باندھیں۔
77, Respond with empathy., ہمدردی کے ساتھ جواب دیں۔
78, and your mom will be more likely to soften and tell you the real problem., اور آپ کی ماں نرمی کرنے اور آپ کو اصل مسئلہ بتانے کا زیادہ امکان رکھتی ہے۔
79,"My mom will sometimes say ‘I’m sorry’ with a hug, and that’s nice.",میری ماں کبھی کبھار گلے لگا کر کہے گی 'مجھے افسوس ہے'، اور یہ اچھا ہے۔
80,Then we can move on.,پھر ہم آگے بڑھ سکتے ہیں۔
81, I try to do that too., میں بھی ایسا کرنے کی کوشش کرتا ہوں۔
82, Putting my pride behind me and sincerely saying ‘I’m sorry’ goes a long way., اپنے فخر کو اپنے پیچھے ڈالنا اور خلوص دل سے 'مجھے معاف کر دینا' بہت آگے جاتا ہے۔
83, although I admit it’s not easy., اگرچہ میں تسلیم کرتا ہوں کہ یہ آسان نہیں ہے۔
84,Arguing with a parent is like running on a treadmill,والدین کے ساتھ بحث کرنا ٹریڈمل پر چلنے کے مترادف ہے۔
85,you’ll expend a lot of energy but won’t get anywhere.,آپ بہت زیادہ توانائی خرچ کریں گے لیکن کہیں نہیں پائیں گے۔
86,there is any conflict.,کوئی تنازعہ ہے؟
87, If you find it hard to do this face-toface., اگر آپ کو یہ آمنے سامنے کرنا مشکل لگتا ہے۔
88, try expressing your feelings in a note., ایک نوٹ میں اپنے جذبات کا اظہار کرنے کی کوشش کریں۔
89,Then ‘go the extra mile’ by changing any behavior that contributed to the conflict in the first place. (Matthew 5:41) For example.,پھر کسی بھی طرز عمل کو تبدیل کرکے 'اضافی میل طے کریں' جس نے پہلی جگہ تنازعہ میں حصہ لیا۔ (متی 5:41) مثال کے طور پر۔
90,if neglecting a chore has ignited an argument.,اگر کسی کام کو نظر انداز کرنے سے ایک دلیل آگئی ہے۔
91,why not surprise your parents by doing that chore?,اپنے والدین کو یہ کام کر کے حیران کیوں نہیں کرتے؟
92,Even if you dislike the task.,یہاں تک کہ اگر آپ کام کو ناپسند کرتے ہیں۔
93, wouldn’t getting it done be better than facing the consequences when your parents see it’s still not done?, جب آپ کے والدین دیکھتے ہیں کہ یہ ابھی تک نہیں ہوا ہے تو کیا اسے انجام دینا نتائج کا سامنا کرنے سے بہتر نہیں ہوگا؟
94,Think of what you stand to gain by doing your part to reduce the tension between you and your parents. Successful families have conflicts.,اپنے اور اپنے والدین کے درمیان تناؤ کو کم کرنے کے لیے اپنا کردار ادا کرکے آپ کیا حاصل کرنے کے لیے کھڑے ہیں اس کے بارے میں سوچیں۔ کامیاب خاندانوں میں تنازعات ہوتے ہیں۔
95, but they know how to settle them peaceably., لیکن وہ انہیں پُرامن طریقے سے حل کرنا جانتے ہیں۔
96, Practice the skills outlined in this chapter., اس باب میں بیان کردہ مہارتوں کی مشق کریں۔
97, and you may find that you can discuss even difficult topics with your parents—without arguing!, اور آپ محسوس کر سکتے ہیں کہ آپ اپنے والدین کے ساتھ مشکل موضوعات پر بحث کیے بغیر بحث کر سکتے ہیں!
98,However.,البتہ.
99,the transition to adulthood isn’t like a door that you simply walk through when you reach a certain age.,جوانی میں منتقلی ایک دروازے کی طرح نہیں ہے جس سے آپ صرف ایک خاص عمر کو پہنچنے پر گزرتے ہیں۔
100,"It’s more like a stairway that you climb, step-by-step, throughout adolescence.",یہ ایک سیڑھی کی طرح ہے جس پر آپ قدم بہ قدم، پورے جوانی میں چڑھتے ہیں۔
101," Granted, you and your parents may have conflicting opinions as to just how far you’ve progressed up that stairway.", یہ سچ ہے کہ آپ اور آپ کے والدین کی متضاد رائے ہو سکتی ہے کہ آپ نے اس سیڑھی سے کتنی دور تک ترقی کی ہے۔
102,"“I’m 20 years old, and this is still an issue!” says Maria.",میں 20 سال کا ہوں، اور یہ اب بھی ایک مسئلہ ہے! ماریہ کا کہنا ہے کہ.
103, who feels that she’s not trusted when it comes to her choice of friends., جو محسوس کرتی ہے کہ جب اس کے دوستوں کے انتخاب کی بات آتی ہے تو اس پر بھروسہ نہیں کیا جاتا ہے۔
104,"LIKE Sarah and Christine, do you yearn for more freedom?",سارہ اور کرسٹین کی طرح، کیا آپ مزید آزادی کی خواہش رکھتے ہیں؟
105,"To get it, you’ll need to gain the trust of your parents.",اسے حاصل کرنے کے لیے، آپ کو اپنے والدین کا اعتماد حاصل کرنا ہوگا۔
106, But trust is a lot like money., لیکن اعتماد بہت زیادہ پیسے کی طرح ہے۔
107," Earning it is hard, losing it is easy, and no matter how much you’re given, it may never seem to be enough.", اسے کمانا مشکل ہے، اسے کھونا آسان ہے، اور اس سے کوئی فرق نہیں پڑتا ہے کہ آپ کو کتنا ہی دیا جائے، یہ کبھی بھی کافی نہیں لگتا ہے۔
108," “Whenever I want to go out,” says 16-yearold Iliana.", 16 سالہ الیانا کہتی ہیں، ’’میں جب بھی باہر جانا چاہتی ہوں۔
109,"“my parents bombard me with questions about where I’m going, the people I’m going with, what I’ll be doing, and when I’ll be back.","میرے والدین مجھ پر سوالات کی بوچھاڑ کرتے ہیں کہ میں کہاں جا رہا ہوں، جن لوگوں کے ساتھ میں جا رہا ہوں، میں کیا کروں گا، اور میں کب واپس آؤں گا۔_x000D_
میں جانتا ہوں کہ وہ میرے والدین ہیں، لیکن جب وہ مجھ سے اس طرح سوال کرتے ہیں تو مجھے غصہ آتا ہے!"
110,"I know they’re my parents, but it irritates me when they question me like that!”",آپ اپنے والدین کو آپ پر زیادہ اعتماد کرنے اور آپ کو مزید آزادی دلانے کے لیے کیا کر سکتے ہیں؟
111,What can you do to get your parents to trust you more and give you more freedom?,اس سوال کا جواب دینے سے پہلے۔
112,Before answering that question., آئیے دیکھتے ہیں کہ بہت سے والدین اور نوجوانوں کے درمیان اعتماد اس قدر گرم بٹن کا موضوع کیوں ہے۔
113, let’s look at why trust is such a hot-button topic between many parents and youths.,"میرے والدین سوچتے ہیں کہ مجھ میں اتنی طاقت نہیں ہوگی کہ میں ایک بری صورتحال سے نکل سکوں۔_x000D_
میں نے انہیں بتانے کی کوشش کی ہے کہ میں پہلے ہی برے حالات سے دور ہو چکا ہوں۔_x000D_
لیکن یہ ان کے لیے کافی نہیں ہے!"
114,“My parents think that I wouldn’t have the strength to walk away from a bad situation., جیسا کہ ماریہ کے تبصروں سے پتہ چلتا ہے۔
115,I’ve tried telling them that I have already walked away from bad situations.,اعتماد کا مسئلہ نوجوانوں اور والدین کے درمیان کافی تناؤ کا باعث بن سکتا ہے۔
116,but that’s not good enough for them!”, کیا آپ کے خاندان میں یہ سچ ہے؟ میں
117, As Maria’s comments reveal.,تو، آپ اپنے والدین سے زیادہ اعتماد کیسے حاصل کر سکتے ہیں؟
118,the issue of trust can be a source of considerable tension between youths and parents., جو محسوس کرتی ہے کہ جب اس کے دوستوں کے انتخاب کی بات آتی ہے تو اس پر بھروسہ نہیں کیا جاتا ہے۔
119, Is that true in your family? I, جیسا کہ ماریہ کے تبصروں سے پتہ چلتا ہے۔
120,"f so, how can you earn greater trust from your parents?", تو، آپ اپنے والدین سے زیادہ اعتماد کیسے حاصل کر سکتے ہیں؟
121,And if you’ve lost their trust because of some unwise actions on your part.,اور اگر آپ اپنی طرف سے کچھ غیر دانشمندانہ اقدامات کی وجہ سے ان کا اعتماد کھو چکے ہیں۔
122,what can you do to repair the damage?,آپ نقصان کو ٹھیک کرنے کے لیے کیا کر سکتے ہیں؟
123,The degree to which you’re accorded freedom often matches the degree to which The transition to becoming a trusted adult is like a stairway that you climb.,جس ڈگری تک آپ کو آزادی دی جاتی ہے وہ اکثر اس ڈگری سے میل کھاتا ہے جس پر ایک قابل اعتماد بالغ بننے کی منتقلی ایک سیڑھی کی طرح ہے جس پر آپ چڑھتے ہیں۔
124,"step-by-step, throughout adolescence CHILDHOOD ADOLESCENCE ADULTHOOD How can I earn more freedom?",قدم بہ قدم، پورے جوانی میں بچپن جوانی جوانی میں مزید آزادی کیسے حاصل کر سکتا ہوں؟
125,23 Rather than compare your present restrictions with the freedom an older sibling may have.,23 اپنی موجودہ پابندیوں کا موازنہ اس آزادی سے کریں جو ایک بڑے بھائی کو حاصل ہو سکتی ہے۔
126, compare the restrictions you used to have when you were younger with the freedom you have now., ان پابندیوں کا موازنہ کریں جو آپ چھوٹے تھے جب آپ پر لگا ہوا تھا اس آزادی سے جو آپ کو اب حاصل ہے۔
127,TIP you prove yourself trustworthy., آپ اپنے آپ کو قابل اعتماد ثابت کریں۔
128,Not that you have to be perfect.,ایسا نہیں ہے کہ آپ کو کامل ہونا پڑے گا۔
129," After all, everyone makes mistakes.", سب کے بعد، ہر کوئی غلطیاں کرتا ہے.
130,"Overall, though, does your pattern of behavior give your parents reason to withhold their trust?",تاہم، مجموعی طور پر، کیا آپ کا طرزِ عمل آپ کے والدین کو ان کے اعتماد کو روکنے کی وجہ دیتا ہے؟
131,"For example, Paul wrote: “We wish to conduct ourselves honestly in all things.”",مثال کے طور پر، پولس نے لکھا: ”ہم ہر بات میں ایمانداری سے چلنا چاہتے ہیں۔
132,"Ask yourself, ‘What kind of track record do I have when it comes to being up front with my parents about my whereabouts and activities?’",اپنے آپ سے پوچھیں، 'جب میرے والدین کے ساتھ میرے ٹھکانے اور سرگرمیوں کے بارے میں سامنے آنے کی بات آتی ہے تو میرے پاس کس قسم کا ٹریک ریکارڈ ہے؟'
133,Consider the comments of a few youths who have had to take a hard look at themselves in this regard.,چند نوجوانوں کے تبصروں پر غور کریں جنہیں اس سلسلے میں خود کو سختی سے دیکھنا پڑا۔
134,After you’ve read their comments.,ان کے تبصرے پڑھنے کے بعد۔
135,answer the questions listed below.,ذیل میں درج سوالات کا جواب دیں۔
136,“I was secretly e-mailing a boy I liked.,میں چپکے سے ایک لڑکے کو ای میل کر رہا تھا جسے میں پسند کرتا تھا۔
137,"My parents found out about it and told me to stop. I promised that I would, but I didn’t.",میرے والدین کو اس کے بارے میں پتہ چلا اور مجھے رکنے کو کہا۔ میں نے وعدہ کیا تھا کہ میں کروں گا، لیکن میں نے نہیں کیا۔
138,"This went on for a year. I’d e-mail the boy, my parents would find out, I’d apologize and promise to stop, but then I’d do it again.",یہ سلسلہ ایک سال تک چلتا رہا۔ میں لڑکے کو ای میل کروں گا، میرے والدین کو پتہ چل جائے گا، میں معافی مانگوں گا اور روکنے کا وعدہ کروں گا، لیکن پھر میں اسے دوبارہ کروں گا۔
139,It got to the point where my parents couldn’t trust me with anything!”,یہ اس مقام پر پہنچ گیا کہ میرے والدین مجھ پر کسی چیز پر بھروسہ نہیں کر سکتے تھے!
140,"Why, do you think, did Lori’s parents withhold their trust?",آپ کے خیال میں لوری کے والدین نے اپنا اعتماد کیوں روکا؟
141,"If you were Lori’s parent, what would you have done, and why?",اگر آپ لوری کے والدین ہوتے، تو آپ کیا کرتے، اور کیوں؟
142,How could Lori have behaved more responsibly after her parents first talked to her about the problem?,اس کے والدین نے پہلی بار اس سے اس مسئلے کے بارے میں بات کرنے کے بعد لوری کس طرح زیادہ ذمہ داری سے برتاؤ کر سکتی تھی؟
143,"‘‘ When talking to my parents,",‘‘جب اپنے والدین سے بات کرتے ہوئے،
144, I am open about my problems and concerns., میں اپنے مسائل اور خدشات کے بارے میں کھلا ہوں۔
145,I think this makes it easier for them to trust me. ’,میرے خیال میں اس سے ان کے لیے مجھ پر اعتماد کرنا آسان ہو جاتا ہے۔ '
146, “My parents didn’t trust me when it came to boys.,جب لڑکوں کی بات آئی تو میرے والدین نے مجھ پر اعتماد نہیں کیا۔
147, but now I can understand why., لیکن اب میں سمجھ سکتا ہوں کیوں۔
148, I was flirting with a couple of them who were two years older than I was., میں ان میں سے ایک جوڑے کے ساتھ چھیڑ چھاڑ کر رہا تھا جو مجھ سے دو سال بڑے تھے۔
149, I was also spending long hours on the phone with them., میں بھی ان کے ساتھ فون پر طویل گھنٹے گزارتا تھا۔
150, and at gatherings I’d talk to them and almost no one else., اور اجتماعات میں میں ان سے بات کرتا تھا اور تقریباً کسی سے نہیں۔
151," My parents took away my phone for a month, and they wouldn’t let me go places where those boys would be.", میرے والدین نے ایک مہینے کے لیے میرا فون چھین لیا، اور وہ مجھے ایسی جگہ نہیں جانے دیتے جہاں وہ لڑکے ہوں گے۔
152,” If you were Beverly’s parents.,"اگر آپ بیورلی کے والدین ہوتے۔_x000D_
 آپ نے کیا کیا ہوگا، اور کیوں؟_x000D_
  آپ کو لگتا ہے کہ بیورلی کے والدین نے اس پر جو پابندیاں لگائیں وہ غیر معقول تھیں؟ اگر ایسا ہے تو کیوں؟_x000D_
بیورلی اپنے والدین کا اعتماد بحال کرنے کے لیے کیا کر سکتی تھی؟_x000D_
 دوبارہ بھروسہ حاصل کرنا اگر اوپر بیان کیے گئے نوجوانوں کی طرح آپ کے اعمال نے آپ کے والدین کے اعتماد کی کمی کا سبب بنا ہے تو کیا ہوگا؟_x000D_
یہاں تک کہ اگر یہ معاملہ ہے، یقین رکھیں کہ آپ جوار کو تبدیل کر سکتے ہیں._x000D_
لیکن کس طرح؟ جب آپ ذمہ دارانہ رویے کا ریکارڈ بناتے ہیں تو امکان ہے کہ آپ کے والدین آپ کو زیادہ اعتماد اور آزادی دیں گے۔_x000D_
 اینیٹ نے اس حقیقت کی تعریف کی۔_x000D_
 جب آپ چھوٹے ہوتے ہیں،"" وہ کہتی ہیں، ""آپ بھروسا کیے جانے کی اہمیت کو پوری طرح سے نہیں سمجھتے"
153," what would you have done, and why?", اب میں زیادہ ذمہ دار محسوس کر رہا ہوں۔
154,"  you think the restrictions that Beverly’s parents placed on her were unreasonable? If so, why?",آپ کو لگتا ہے کہ بیورلی کے والدین نے اس پر جو پابندیاں لگائیں وہ غیر معقول تھیں؟ اگر ایسا ہے تو کیوں؟
155,What could Beverly have done to restore her parents’ trust?,بیورلی اپنے والدین کا اعتماد بحال کرنے کے لیے کیا کر سکتی تھی؟
156," Regaining Trust What if, like the youths quoted above, your actions have contributed to your parents’ lack of trust?", دوبارہ بھروسہ حاصل کرنا اگر اوپر بیان کیے گئے نوجوانوں کی طرح، آپ کے اعمال نے آپ کے والدین کے اعتماد کی کمی میں حصہ ڈالا ہے تو کیا ہوگا؟
157,"Even if that’s the case, be assured that you can turn the tide.",یہاں تک کہ اگر یہ معاملہ ہے، یقین رکھیں کہ آپ جوار موڑ سکتے ہیں۔
158,But how? Likely your parents will accord you greater trust and freedom as you build up a record of responsible behavior.,لیکن کس طرح؟ جب آپ ذمہ دارانہ رویے کا ریکارڈ بناتے ہیں تو امکان ہے کہ آپ کے والدین آپ کو زیادہ اعتماد اور آزادی دیں گے۔
159, Annette came to appreciate that fact., اینیٹ نے اس حقیقت کی تعریف کی۔
